City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
312,pyin oo lwin,22.0333,96.4667,14.81,95,58,1.49,MM,1731193858
313,lethem,3.3803,-59.7968,32.97,35,98,3.02,GY,1731193859
314,kununurra,-15.7667,128.7333,29.99,79,70,1.54,AU,1731193860
315,arkalyk,50.2486,66.9114,-1.28,97,100,14.65,KZ,1731193861
316,ambodifotatra,-16.9833,49.85,24.49,82,27,1.87,MG,1731193862
317,verkhnevilyuysk,63.4453,120.3167,-9.41,93,98,3.01,RU,1731193863
318,uturoa,-16.7333,-151.4333,27.15,79,61,4.86,PF,1731193865
319,lingyuan,41.24,119.4011,8.0,85,100,0.93,CN,1731193866
320,san patricio,28.017,-97.5169,28.97,49,0,3.41,US,1731193378
321,le grazie di ancona,43.6008,13.5153,12.22,88,100,1.03,IT,1731193869
322,jolo,6.05,121.0167,27.97,82,97,1.85,PH,1731193870
323,salur,18.5333,83.2167,21.19,84,1,1.42,IN,1731193871
324,tera,14.0078,0.7531,26.52,16,3,4.49,NE,1731193692
325,jiuquan,39.7432,98.5174,4.66,51,50,2.25,CN,1731193625
326,dakhla,23.6848,-15.958,21.75,62,98,4.63,EH,1731193875
327,kill devil hills,36.0307,-75.676,14.43,66,0,5.66,US,1731193876
328,punta gorda,26.9298,-82.0454,27.77,77,0,3.09,US,1731193826
329,al kharijah,25.4514,30.5464,17.99,45,0,3.35,EG,1731193878
330,villa aldama,19.6167,-97.2167,14.68,79,39,2.55,MX,1731193881
331,adirampattinam,10.35,79.4,24.03,89,95,5.37,IN,1731193882
332,sisimiut,66.9395,-53.6735,-4.33,88,100,3.48,GL,1731193883
333,sorochinsk,52.4338,53.1583,1.47,97,96,6.96,RU,1731193884
334,purna,19.1833,77.05,19.28,59,0,0.68,IN,1731193886
335,portland,45.5234,-122.6762,13.75,76,100,2.06,US,1731193603
336,piton saint-leu,-21.2196,55.3151,21.06,73,0,2.57,RE,1731193888
337,yingshang chengguanzhen,32.6295,116.2701,16.08,89,100,2.47,CN,1731193889
338,wuhai,39.6647,106.8122,7.96,59,65,2.88,CN,1731193891
339,port lincoln,-34.7333,135.8667,16.2,71,68,6.66,AU,1731193892
340,san fernando de apure,7.8878,-67.4724,27.87,75,78,1.93,VE,1731193893
341,mil'kovo,55.6078,37.7956,6.86,60,100,5.7,RU,1731193894
342,binkolo,8.9533,-11.9779,23.47,72,63,0.71,SL,1731193895
343,capbreton,43.6422,-1.4282,13.4,85,89,4.11,FR,1731193897
344,tughyl,47.7252,84.2063,0.76,75,100,4.14,KZ,1731193898
345,choma,-16.8065,26.9531,21.03,52,2,2.23,ZM,1731193899
346,urumqi,43.801,87.6005,-0.47,93,0,2.0,CN,1731193900
347,dalbandin,28.8947,64.4101,17.21,30,0,3.89,PK,1731193901
348,vuktyl,63.8567,57.3094,-6.13,84,89,6.42,RU,1731193902
349,kargasok,59.0556,80.8572,-4.68,83,100,9.63,RU,1731193903
350,gurupi,-11.7292,-49.0686,23.34,94,100,3.49,BR,1731193906
351,buncrana,55.1333,-7.45,10.92,92,100,3.83,IE,1731193907
352,loukhi,66.0764,33.0381,0.45,74,40,4.89,RU,1731193908
353,birobidzhan,48.8,132.95,0.24,98,100,0.56,RU,1731193911
354,yuxia,34.0615,108.6291,14.72,78,65,1.16,CN,1731193912
355,itamaraca,-7.7478,-34.8256,25.28,80,63,3.97,BR,1731193913
356,kalmunai,7.4167,81.8167,24.45,90,91,4.56,LK,1731193914
357,kalawit,8.0667,122.5167,27.07,85,72,0.24,PH,1731193915
358,uzgen,40.7699,73.3007,4.63,69,86,1.51,KG,1731193916
359,douentza,14.9951,-2.9517,25.14,16,5,2.33,ML,1731193918
360,tbeng meanchey,13.8167,104.9667,21.55,92,76,0.71,KH,1731193919
361,biharamulo,-2.6319,31.3089,17.74,60,94,0.39,TZ,1731193698
